Gene stable ID version	Transcript stable ID version
ENSG00000274465.5	ENST00000620611.1
ENSG00000262573.2	ENST00000571104.1
ENSG00000262896.2	ENST00000570861.2
ENSG00000278490.1	ENST00000613313.1
ENSG00000263263.1	ENST00000576511.1
ENSG00000262221.1	ENST00000573531.1
ENSG00000262542.1	ENST00000574737.1
ENSG00000273498.4	ENST00000611434.4
ENSG00000262594.4	ENST00000570825.1
ENSG00000277196.4	ENST00000621424.4
ENSG00000278277.1	ENST00000611199.1
ENSG00000278692.1	ENST00000618870.1
ENSG00000275735.1	ENST00000618364.1
ENSG00000277392.1	ENST00000615880.1
ENSG00000278817.1	ENST00000613204.1
ENSG00000276017.1	ENST00000617983.1
ENSG00000274254.1	ENST00000618713.1
ENSG00000278726.4	ENST00000617398.4
ENSG00000274971.1	ENST00000622568.1
ENSG00000275731.1	ENST00000614639.1
ENSG00000275428.2	ENST00000621609.2
ENSG00000275051.2	ENST00000613226.2
ENSG00000281775.2	ENST00000625428.2
ENSG00000275914.5	ENST00000618388.4
ENSG00000281151.2	ENST00000627948.2
ENSG00000276459.5	ENST00000622644.4
ENSG00000275416.4	ENST00000621155.4
ENSG00000274382.2	ENST00000614006.2
ENSG00000282665.1	ENST00000632053.1
ENSG00000276882.4	ENST00000610587.4
ENSG00000275269.4	ENST00000619385.4
ENSG00000278116.1	ENST00000621273.1
ENSG00000275500.1	ENST00000620545.1
ENSG00000275517.4	ENST00000625471.2
ENSG00000276327.1	ENST00000611996.1
ENSG00000279389.3	ENST00000623152.1
ENSG00000275637.4	ENST00000617741.4
ENSG00000275629.4	ENST00000616438.4
ENSG00000278207.1	ENST00000616642.1
ENSG00000274429.2	ENST00000614211.2
ENSG00000278229.2	ENST00000632419.1
ENSG00000277603.4	ENST00000613631.2
ENSG00000282752.1	ENST00000632301.1
ENSG00000277850.4	ENST00000619802.1
ENSG00000276371.2	ENST00000617411.2
ENSG00000278248.1	ENST00000620588.1
ENSG00000274166.2	ENST00000633133.1
ENSG00000275353.1	ENST00000617825.1
ENSG00000262102.1	ENST00000572659.1
ENSG00000277442.4	ENST00000614976.4
ENSG00000262860.5	ENST00000575811.5
ENSG00000277028.1	ENST00000622043.1
ENSG00000281289.2	ENST00000630761.2
ENSG00000277354.1	ENST00000619935.1
ENSG00000282152.1	ENST00000633655.1
ENSG00000274679.4	ENST00000621926.3
ENSG00000278368.5	ENST00000620062.4
ENSG00000275848.1	ENST00000614379.1
ENSG00000281919.2	ENST00000631255.2
ENSG00000278788.4	ENST00000631948.1
ENSG00000277069.2	ENST00000616205.2
ENSG00000281690.2	ENST00000630002.1
ENSG00000276357.4	ENST00000614753.4
ENSG00000275436.5	ENST00000620281.4
ENSG00000278809.4	ENST00000611608.4
ENSG00000278198.1	ENST00000611619.1
ENSG00000276256.1	ENST00000612465.1
ENSG00000278495.4	ENST00000611849.1
ENSG00000262156.4	ENST00000623492.3
ENSG00000277076.4	ENST00000621636.4
ENSG00000282302.4	ENST00000633557.1
ENSG00000276595.4	ENST00000617711.4
ENSG00000274639.1	ENST00000613010.1
ENSG00000278489.2	ENST00000612541.2
ENSG00000276154.1	ENST00000621436.1
ENSG00000275920.1	ENST00000620564.1
ENSG00000277068.2	ENST00000629556.1
ENSG00000278210.1	ENST00000619083.1
ENSG00000274404.3	ENST00000612056.1
ENSG00000277291.2	ENST00000618541.2
ENSG00000276625.4	ENST00000618563.1
ENSG00000276582.1	ENST00000618180.1
ENSG00000280807.2	ENST00000625753.1
ENSG00000273793.3	ENST00000625578.2
ENSG00000278728.2	ENST00000633607.1
ENSG00000280635.1	ENST00000629850.1
ENSG00000280618.2	ENST00000628954.2
ENSG00000276565.1	ENST00000617253.1
ENSG00000278247.2	ENST00000611085.2
ENSG00000278373.4	ENST00000622133.4
ENSG00000278633.1	ENST00000619792.1
ENSG00000275546.5	ENST00000611724.4
ENSG00000262634.5	ENST00000571751.5
ENSG00000281763.2	ENST00000626678.1
ENSG00000280759.2	ENST00000626787.2
ENSG00000273831.2	ENST00000611111.2
ENSG00000275031.2	ENST00000633913.1
ENSG00000275009.2	ENST00000616813.2
ENSG00000277909.4	ENST00000616584.1
ENSG00000273772.4	ENST00000627341.2
ENSG00000274920.5	ENST00000611451.4
ENSG00000277101.4	ENST00000618535.3
ENSG00000277657.1	ENST00000611193.1
ENSG00000278759.2	ENST00000633032.1
